method,pair_id,f1_all_to_all,precision_all_to_all,recall_all_to_all,source
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac1_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac2_ev,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac3_ev,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac4_ev,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ac5_ev,0.0,0.0,0.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_1_ec_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac1_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac2_ev,0.67,1.0,0.5,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac3_ev,0.91,1.0,0.83,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac4_ev,0.73,0.8,0.67,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ac5_ev,0.8,1.0,0.67,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_30_ec_ev,1.0,1.0,1.0,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
MetaSpace,ChEMBL__Joinable__assays_both_50_50_ac1_ev,0.98,1.0,0.97,/Users/nahawandkired/Documents/metamatch/outputs/exp_occidata/reports/meeting_baselines_vs_metamatch/metaspace_61_classifiers_notebook/metaspace_61_classifiers_row_scores.parquet
